18:11:20 system        | socketio.1 started (pid=37299)
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:15:15 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:15] "POST /api/method/posawesome.posawesome.api.items.get_items_count HTTP/1.1" 200 -
18:15:16 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:16] "POST /api/method/posawesome.posawesome.api.items.get_items_count HTTP/1.1" 200 -
18:15:17 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:17] "POST /api/method/frappe.desk.doctype.route_history.route_history.deferred_insert HTTP/1.1" 200 -
18:15:17 web.1         | 127.0.0.1 - - [31/Aug/2025 18:15:17] "GET /sw.js HTTP/1.1" 200 -
18:15:18 redis_queue.1 | 37302:signal-handler (1756644318) Received SIGTERM scheduling shutdown...
18:15:18 redis_cache.1 | 37304:signal-handler (1756644318) Received SIGTERM scheduling shutdown...
18:15:19 system        | worker.1 stopped (rc=-15)
18:15:19 system        | sending SIGTERM to redis_cache.1 (pid 37304)
18:15:19 system        | sending SIGTERM to redis_queue.1 (pid 37302)
18:15:19 system        | sending SIGTERM to web.1 (pid 37303)
18:15:19 system        | sending SIGTERM to socketio.1 (pid 37299)
18:15:19 system        | sending SIGTERM to watch.1 (pid 37301)
18:15:19 system        | sending SIGTERM to schedule.1 (pid 37306)
18:15:19 system        | schedule.1 stopped (rc=-15)
18:15:19 redis_cache.1 | 37304:signal-handler (1756644319) Received SIGTERM scheduling shutdown...
18:15:19 redis_queue.1 | 37302:signal-handler (1756644319) Received SIGTERM scheduling shutdown...
18:15:19 redis_cache.1 | 37304:M 31 Aug 2025 18:15:19.038 * User requested shutdown...
18:15:19 redis_cache.1 | 37304:M 31 Aug 2025 18:15:19.038 * Removing the pid file.
18:15:19 redis_cache.1 | 37304:M 31 Aug 2025 18:15:19.039 # Redis is now ready to exit, bye bye...
18:15:19 system        | socketio.1 stopped (rc=-15)
18:15:19 system        | redis_cache.1 stopped (rc=0)
18:15:19 redis_queue.1 | 37302:M 31 Aug 2025 18:15:19.046 * User requested shutdown...
18:15:19 redis_queue.1 | 37302:M 31 Aug 2025 18:15:19.046 * Saving the final RDB snapshot before exiting.
18:15:19 system        | watch.1 stopped (rc=-15)
18:15:19 redis_queue.1 | 37302:M 31 Aug 2025 18:15:19.052 * DB saved on disk
18:15:19 redis_queue.1 | 37302:M 31 Aug 2025 18:15:19.052 * Removing the pid file.
18:15:19 redis_queue.1 | 37302:M 31 Aug 2025 18:15:19.053 # Redis is now ready to exit, bye bye...
18:15:19 system        | redis_queue.1 stopped (rc=0)
18:15:19 system        | web.1 stopped (rc=0)
